Country_Code,Country,Year,Production,Land,Labor,N,P,K,Pesticides,fert,lnprod,lnland,lnlabor,lnN,lnP,lnK,lnpest,lnfert
9,China,2011,1104203,528071600,264617567,30131120,13675669,8964250,1787002,52771040,14,20,19,17,16,16,14,18
9,China,2012,1143438,527991400,256400241,30632100,13808729,9217028,1806000,53657856,14,20,19,17,16,16,14,18
9,China,2013,1159861,527996400,240298831,30800704,13762193,8797104,1801862,53360000,14,20,19,17,16,16,14,18
9,China,2014,1174461,527890300,226218703,30981667,13340410,10887568,1807000,55209644,14,20,19,17,16,16,14,18
9,China,2015,1205124,527831700,219411916,30795477,12642324,11727989,1763000,55165788,14,20,19,17,16,16,14,18
9,China,2016,1206493,527753900,212899641,30387931,13811377,10745402,1763000,54944712,14,20,19,17,16,16,14,18
9,China,2017,1222771,527733000,207399416,29544991,9904021,10499964,1763000,49948976,14,20,19,17,16,16,14,18
9,China,2018,1229701,527733000,200658235,28141472,7747621,10681023,1763000,46570116,14,20,19,17,16,16,14,18
10,Cyprus,1990,692,160600,,12622,8337,1773,2185,22732,7,12,,9,9,7,8,10
10,Cyprus,1991,632,159200,43493,12272,8070,1802,1971,22144,6,12,11,9,9,7,8,10
10,Cyprus,1992,721,159600,42830,15999,9800,2560,1696,28359,7,12,11,10,9,8,7,10
10,Cyprus,1993,772,158700,42616,14512,9693,2008,2044,26213,7,12,11,10,9,8,8,10
10,Cyprus,1994,721,143400,40986,14404,9857,2053,2518,26314,7,12,11,10,9,8,8,10
10,Cyprus,1995,820,143100,40455,12948,10211,2416,2031,25575,7,12,11,9,9,8,8,10
10,Cyprus,1996,808,143200,36531,13765,9459,2225,2417,25449,7,12,11,10,9,8,8,10
10,Cyprus,1997,716,142200,32764,10760,7750,1829,2224,20339,7,12,10,9,9,8,8,10
10,Cyprus,1998,777,144200,28893,10824,7500,1970,1714,20294,7,12,10,9,9,8,7,10
10,Cyprus,1999,825,144200,25464,10884,7361,1938,1204,20183,7,12,10,9,9,8,7,10
10,Cyprus,2000,789,141500,22865,7828,4898,1689,694,14415,7,12,10,9,8,7,7,10
10,Cyprus,2001,812,140000,21618,7908,5156,1643,797,14707,7,12,10,9,9,7,7,10
10,Cyprus,2002,843,140000,24158,8629,5688,1648,975,15965,7,12,10,9,9,7,7,10
10,Cyprus,2003,822,154000,24590,9591,6551,1580,720,17722,7,12,10,9,9,7,7,10
10,Cyprus,2004,821,156000,24866,8209,5191,1449,650,14849,7,12,10,9,9,7,6,10
10,Cyprus,2005,762,167000,23248,7225,4903,1276,620,13404,7,12,10,9,8,7,6,10
10,Cyprus,2006,710,157000,21620,6638,4726,1174,812,12538,7,12,10,9,8,7,7,9
10,Cyprus,2007,707,147200,23037,6340,4517,1203,495,12060,7,12,10,9,8,7,6,9
10,Cyprus,2008,679,115600,22731,4785,2151,2294,447,9230,7,12,10,8,8,8,6,9
10,Cyprus,2009,657,127600,21227,7031,5142,3595,707,15768,6,12,10,9,9,8,7,10
10,Cyprus,2010,655,114500,20835,8437,5235,3077,620,16749,6,12,10,9,9,8,6,10
10,Cyprus,2011,691,116300,20657,7408,2765,2528,568,12701,7,12,10,9,8,8,6,9
10,Cyprus,2012,654,116900,15133,8791,4909,3162,727,16862,6,12,10,9,8,8,7,10
10,Cyprus,2013,618,109230,15513,6979,4455,3226,887,14660,6,12,10,9,8,8,7,10
10,Cyprus,2014,610,109380,22477,6242,3957,2486,1047,12685,6,12,10,9,8,8,7,9
10,Cyprus,2015,642,127180,20544,7940,4861,2743,999,15544,6,12,10,9,8,8,7,10
10,Cyprus,2016,634,109690,19127,7968,5380,3302,638,16650,6,12,10,9,9,8,6,10
10,Cyprus,2017,659,121765,13739,7972,4977,3421,1083,16370,6,12,10,9,9,8,7,10
10,Cyprus,2018,655,131347,12416,7773,5192,3437,1141,16403,6,12,9,9,9,8,7,10
11,Georgia,2002,1411,3004000,1022838,21400,2600,2400,3081,26400,7,15,14,10,8,8,8,10
11,Georgia,2003,1575,3006000,1081470,11124,400,0,3081,11524,7,15,14,9,6,,8,9
11,Georgia,2004,1413,2492000,1033997,14100,5,118,3081,14223,7,15,14,10,2,5,8,10
11,Georgia,2005,1565,2520000,1023743,24117,734,194,3081,25045,7,15,14,10,7,5,8,10
11,Georgia,2006,1026,2518000,1047866,21410,420,128,3081,21958,7,15,14,10,6,5,8,10
11,Georgia,2007,1134,2517000,1017350,18451,412,277,3081,19140,7,15,14,10,6,6,8,10
11,Georgia,2008,1005,2514000,927457,16881,263,83,3081,17227,7,15,14,10,6,4,8,10
11,Georgia,2009,930,2498000,859021,19122,216,123,3081,19461,7,15,14,10,5,5,8,10
11,Georgia,2010,916,2460000,855807,12913,977,76,3081,13966,7,15,14,9,7,4,8,10
11,Georgia,2011,988,2442400,879214,43300,1631,1128,3081,46059,7,15,14,11,7,7,8,11
11,Georgia,2012,929,2435000,858787,49500,3090,781,3081,53371,7,15,14,11,8,7,8,11
11,Georgia,2013,1118,2486100,852946,64600,6036,1884,3081,72520,7,15,14,11,9,8,8,11
11,Georgia,2014,1019,2460000,855128,50800,5540,1837,3081,58176,7,15,14,11,9,8,8,11
11,Georgia,2015,1029,2418100,830617,49900,4195,2148,1351,56243,7,15,14,11,8,8,7,11
